Date,Close (BTC),Volume (BTC),Close (ETH),Volume (ETH),Close (USDT),Volume (USDT),Close (BNB),Volume (BNB),Year,Month,Day,DayOfWeek,BTC_ETH_Ratio,BTC_Volume_Price_Ratio,ETH_Volume_Price_Ratio
2018-03-05 00:00:00+00:00,11573.2998046875,6468539904,853.6840209960938,1898489984,0.9988639950752258,2227680000,10.11050033569336,38605100,2018,3,5,0,13.556889340840147,558919.2376559766,2223879.0199971274
2018-03-06 00:00:00+00:00,10779.900390625,6832169984,816.9509887695312,1943069952,1.000499963760376,2491849984,9.384380340576172,38182600,2018,3,6,1,13.195284097594868,633787.8585540327,2378441.275806028
2018-03-07 00:00:00+00:00,9965.5703125,8797910016,752.8309936523438,2175419904,1.0024800300598145,3037380096,9.034879684448242,79740800,2018,3,7,2,13.237460195617405,882830.5596283454,2889652.421781941
2018-03-08 00:00:00+00:00,9395.009765625,7186089984,704.5960083007812,1891640064,1.005910038948059,2636689920,8.310440063476562,48535100,2018,3,8,3,13.3338958139746,764883.716278069,2684715.8395942654
2018-03-09 00:00:00+00:00,9337.5498046875,8704190464,728.916015625,2233019904,1.0016599893569946,3131620096,8.313070297241211,46893300,2018,3,9,4,12.810186090754412,932170.7135238465,3063480.368290886
2018-03-10 00:00:00+00:00,8866.0,5386319872,686.8900146484375,1532960000,1.0051900148391724,2218810112,7.67165994644165,41645000,2018,3,10,5,12.907452155259202,607525.3634107828,2231740.1145867524
2018-03-11 00:00:00+00:00,9578.6298828125,6296370176,723.3389892578125,1562680064,1.0038399696350098,2394810112,8.272379875183105,45451700,2018,3,11,6,13.242241915703627,657335.1568054579,2160370.2927771113
2018-03-12 00:00:00+00:00,9205.1201171875,6457399808,699.8309936523438,1764999936,1.0023499727249146,2155559936,8.039270401000977,51188100,2018,3,12,0,13.153347309108096,701500.8740562715,2522037.394755343
2018-03-13 00:00:00+00:00,9194.849609375,5991139840,690.8270263671875,1425959936,0.9998430013656616,1890040064,10.11520004272461,216111008,2018,3,13,1,13.309915881153968,651575.6205399465,2064134.5540556132
2018-03-14 00:00:00+00:00,8269.8095703125,6438230016,614.291015625,1810560000,1.002750039100647,2151670016,8.959210395812988,124112000,2018,3,14,2,13.462364514477756,778522.1607898176,2947397.8195137307
2018-03-15 00:00:00+00:00,8300.8603515625,6834429952,611.3040161132812,1770460032,1.0012799501419067,2259869952,9.099080085754396,104531000,2018,3,15,3,13.578939664653308,823339.9506249411,2896202.192906769
2018-03-16 00:00:00+00:00,8338.349609375,5289379840,601.666015625,1417350016,0.9985510110855104,1872050048,9.111319541931152,97626000,2018,3,16,4,13.85876780943539,634343.7356060278,2355708.9468111005
2018-03-17 00:00:00+00:00,7916.8798828125,4426149888,552.7789916992188,1267810048,1.0016200542449951,1687920000,8.987739562988281,94679904,2018,3,17,5,14.321962306267018,559077.5600384118,2293520.678314504
2018-03-18 00:00:00+00:00,8223.6796875,6639190016,538.6439819335938,2685499904,1.0030800104141235,2639470080,8.951849937438965,94840304,2018,3,18,6,15.267375044234411,807325.9499748725,4985667.702737055
2018-03-19 00:00:00+00:00,8630.650390625,6729110016,556.7260131835938,2046790016,0.9898669719696044,2638089984,8.9927396774292,97938896,2018,3,19,0,15.502509647916948,779675.8890047802,3676476.341199853
2018-03-20 00:00:00+00:00,8913.4697265625,6361789952,557.1749877929688,1833680000,0.996832013130188,2506319872,9.160929679870604,96919504,2018,3,20,1,15.9976128179582,713727.6669086124,3291030.717770386
2018-03-21 00:00:00+00:00,8929.2802734375,6043129856,561.7319946289062,1781270016,0.999243974685669,2353890048,9.982000350952148,131761000,2018,3,21,2,15.895979504134171,676776.8141377401,3171031.796358244
2018-03-22 00:00:00+00:00,8728.4697265625,5530390016,539.7020263671875,1523459968,0.9989820122718812,2171849984,10.06630039215088,112305000,2018,3,22,3,16.17275700318395,633603.6200217209,2822779.7813816443
2018-03-23 00:00:00+00:00,8879.6201171875,5954120192,539.6190185546875,1596349952,0.9902349710464478,1995699968,11.737600326538086,157246000,2018,3,23,4,16.455350556343667,670537.7159632238,2958290.7516411385
2018-03-24 00:00:00+00:00,8668.1201171875,5664600064,526.4390258789062,1300009984,1.0090999603271484,1785500032,13.089099884033203,255358000,2018,3,24,5,16.465572822447587,653498.1042507708,2469440.752097725
2018-03-25 00:00:00+00:00,8495.7802734375,4569880064,524.2869873046875,1151170048,0.9996860027313232,1511320064,12.783100128173828,189518000,2018,3,25,6,16.204446189125438,537899.9829230481,2195686.8582950383
2018-03-26 00:00:00+00:00,8209.400390625,5921039872,489.9509887695313,1638880000,1.0034099817276,2183960064,12.061400413513184,132353000,2018,3,26,0,16.755554287669028,721251.1986577887,3344987.6366530103
